enzyme	enzyme_name	ec	module	module_name
ko:K00240	 succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	K00240	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00241	 succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	K00241	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00242	 succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	K00242	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K18859	 succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	K18859	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K18860	 succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	K18860	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00244	fumarate reductase [EC:1.3.5.4] [RN:R02164]	K00244	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00245	fumarate reductase [EC:1.3.5.4] [RN:R02164]	K00245	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00246	fumarate reductase [EC:1.3.5.4] [RN:R02164]	K00246	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00247	fumarate reductase [EC:1.3.5.4] [RN:R02164]	K00247	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K01676	 fumarate hydratase [EC:4.2.1.2] [RN:R01082]	K01676	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K01679	 fumarate hydratase [EC:4.2.1.2] [RN:R01082]	K01679	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K01677	 fumarate hydratase [EC:4.2.1.2] [RN:R01082]	K01677	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K01678	 fumarate hydratase [EC:4.2.1.2] [RN:R01082]	K01678	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00026	 malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	K00026	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00025	 malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	K00025	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00024	 malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	K00024	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K00116	 malate dehydrogenase (quinone) [EC:1.1.5.4] [RN:R00361]	K00116	M00009	Citrate cycle (TCA cycle, Krebs cycle)
ko:K01647	 citrate synthase [EC:2.3.3.1] [RN:R00351]	K01647	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
ko:K05942	 citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351]	K05942	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
ko:K01681	 aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]	K01681	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
ko:K01682	 aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]	K01682	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
ko:K00031	 isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	K00031	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
ko:K00030	 isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	K00030	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
ko:K00164	 2-oxoglutarate dehydrogenase [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	K00164	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00658	 2-oxoglutarate dehydrogenase [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	K00658	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00382	 2-oxoglutarate dehydrogenase [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	K00382	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00174	 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197]	K00174	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00175	 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197]	K00175	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00177	 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197]	K00177	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00176	 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197]	K00176	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K01902	 succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]	K01902	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K01903	 succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]	K01903	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K01899	 succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	K01899	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K01900	 succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	K01900	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K18118	 succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343]	K18118	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00234	 succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	K00234	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00235	 succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	K00235	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00236	 succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	K00236	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00237	 succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	K00237	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00239	 succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	K00239	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00240	 succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	K00240	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00241	 succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	K00241	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K00242	 succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	K00242	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K18859	 succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	K18859	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
ko:K18860	 succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	K18860	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
